age,workclass,education,marital_status,occupation,race,sex,hours_per_week,native_country,income
22, State-gov, College, Married, Others, Black, Male,15, United-States, <=50K
48, Company, High_school, Never-married, Shipper, Yellow, Male,40, Vietnam, <=50K
21, Company, College, Never-married, Shipper, White, Male,40, United-States, <=50K
19, Company, College, Married, Tech-support, White, Female,25, United-States, <=50K
31, Company, College, Married, Sales, White, Male,38, China, >50K
48, Self-employment, University, Married, Shipper, White, Male,40, United-States, <=50K
31, Company, Second_school, Married, Shipper, White, Male,43, United-States, <=50K
53, Self-employment, Bachelors, Married, Shipper, White, Male,40, United-States, <=50K
24, Company, Bachelors, Married, Tech-support, White, Male,50, United-States, <=50K
49, Company, College, Married, Tech-support, White, Female,40, United-States, <=50K
25, Company, College, Never-married, Shipper, White, Male,35, United-States, <=50K
57, Self-employment, Bachelors, Married, Doctor, Black, Male,40, United-States, >50K
53, Company, College, Married, Shipper, White, Male,38, United-States, <=50K
44, Company, Masters, Divorced, Managerial, White, Female,40, United-States, <=50K
41, State-gov, University, Married, Protective-serv, White, Male,40, United-States, <=50K
29, Company, University, Never-married, Shipper, White, Male,43, United-States, <=50K
25, Company, College, Married, Managerial, Other, Female,40, United-States, <=50K
18, Company, College, Never-married, Others, White, Female,30, China, <=50K
47, Company, College, Married, Doctor, Yellow, Female,60, Philippines, >50K
50, Self-employment, Bachelors, Divorced, Managerial, White, Male,55, United-States, >50K
47, Self-employment, College, Divorced, Managerial, White, Male,60, United-States, <=50K
43, Company, College, Married, Tech-support, White, Male,40, United-States, >50K
46, Company, Primary_school, Married, Shipper, White, Male,40, Canada, <=50K
35, Company, University, Married, Others, Yellow, Male,40, Vietnam, <=50K
41, Company, College, Married, Tech-support, White, Male,48, United-States, <=50K
30, Company, College, Married, Shipper, White, Male,40, United-States, <=50K
30, Company, Bachelors, Married, Sales, White, Male,40, United-States, <=50K
32, Company, Second_school, Married, Tech-support, White, Male,40, China, <=50K
48, Company, College, Married, Shipper, White, Male,40, United-States, <=50K
42, Company, Doctorate, Married, Doctor, White, Male,45, United-States, >50K
29, Company, College, Divorced, Tech-support, White, Male,58, United-States, <=50K
36, Company, College, Married, Protective-serv, White, Male,40, United-States, <=50K
28, Company, College, Divorced, Tech-support, White, Female,40, United-States, <=50K
53, Company, College, Married, Managerial, White, Female,40, United-States, >50K
49, Self-employment, College, Married, Managerial, White, Male,50, United-States, >50K
25, Company, College, Never-married, Tech-support, White, Male,40, United-States, <=50K
19, Company, College, Never-married, Shipper, White, Male,32, United-States, <=50K
31, Company, Bachelors, Married, Sales, Black, Female,40, United-States, <=50K
29, Self-employment, Bachelors, Married, Sales, White, Male,70, United-States, >50K
23, Company, College, Never-married, Shipper, White, Male,40, United-States, <=50K
79, Company, College, Married, Shipper, White, Male,20, United-States, <=50K
27, Company, College, Never-married, Others, White, Male,40, Canada, <=50K
40, Company, University, Married, Tech-support, White, Male,40, United-States, <=50K
67, Company, High_school, Married, Tech-support, White, Male,2, United-States, <=50K
18, Company, High_school, Never-married, Others, White, Female,22, United-States, <=50K
31, Company, Second_school, Married, Protective-serv, White, Male,40, United-States, <=50K
18, Company, College, Never-married, Sales, White, Male,30, United-States, <=50K
52, Company, Bachelors, Married, Others, White, Male,40, India, <=50K
46, Company, College, Married, Others, White, Female,40, United-States, <=50K
59, Company, College, Married, Sales, White, Male,48, United-States, <=50K
44, Company, College, Divorced, Sales, White, Female,40, United-States, >50K
53, Company, College, Divorced, Sales, White, Female,35, United-States, <=50K
49, Self-employment, College, Married, Protective-serv, White, Male,40, United-States, >50K
33, Company, Masters, Married, Shipper, White, Male,50, United-States, <=50K
30, Company, Second_school, Never-married, Sales, White, Male,40, United-States, <=50K
43, Self-employment, Doctorate, Never-married, Doctor, White, Female,50, United-States, >50K
57, Company, University, Married, Shipper, White, Male,40, United-States, <=50K
37, Company, College, Divorced, Protective-serv, White, Female,40, United-States, <=50K
28, Company, College, Divorced, Shipper, Black, Female,25, United-States, <=50K
30, Company, College, Married, Sales, Yellow, Female,35, China, <=50K
34, Self-employment, Bachelors, Married, Protective-serv, White, Male,40, United-States, >50K
29, Self-employment, College, Never-married, Shipper, White, Male,50, United-States, <=50K
48, Self-employment, Doctorate, Married, Doctor, White, Male,60, United-States, >50K
37, Company, College, Married, Sales, White, Male,48, United-States, >50K
48, Company, University, Divorced, Managerial, White, Female,40, England, <=50K
32, Self-employment, College, Never-married, Others, Black, Male,40, United-States, <=50K
76, Company, Masters, Married, Managerial, White, Male,40, United-States, >50K
44, Company, Bachelors, Married, Managerial, White, Male,60, United-States, >50K
47, Self-employment, Masters, Never-married, Shipper, White, Female,50, United-States, <=50K
20, Company, College, Never-married, Tech-support, White, Female,40, United-States, <=50K
29, Company, College, Never-married, Protective-serv, White, Male,40, United-States, <=50K
32, Self-employment, College, Married, Sales, White, Male,40, United-States, >50K
17, Company, High_school, Never-married, Tech-support, White, Female,32, United-States, <=50K
30, Company, High_school, Never-married, Shipper, White, Male,40, United-States, <=50K
31, Self-employment, College, Never-married, Tech-support, White, Female,40, United-States, <=50K
42, Company, College, Married, Shipper, White, Male,40, United-States, <=50K
24, Company, Bachelors, Never-married, Sales, White, Male,40, United-States, <=50K
38, Company, College, Married, Doctor, White, Male,40, United-States, >50K
56, Self-employment, College, Married, Others, White, Male,50, Canada, >50K
28, Company, College, Married, Sales, White, Female,25, United-States, <=50K
36, Company, College, Never-married, Shipper, White, Female,40, United-States, <=50K
53, Company, Second_school, Married, Shipper, White, Male,50, United-States, <=50K
56, Self-employment, College, Married, Sales, White, Male,50, United-States, <=50K
49, Self-employment, University, Married, Sales, Black, Male,40, United-States, >50K
55, Company, College, Married, Sales, White, Male,56, United-States, <=50K
22, Company, College, Never-married, Protective-serv, White, Male,41, United-States, <=50K
21, Company, College, Never-married, Others, White, Female,40, United-States, <=50K
40, Company, Bachelors, Married, Managerial, White, Male,60, United-States, <=50K
30, Company, Bachelors, Never-married, Managerial, Black, Male,40, Germany, <=50K
29, State-gov, Bachelors, Married, Doctor, White, Male,50, United-States, >50K
19, Company, College, Never-married, Others, Black, Male,35, United-States, <=50K
47, Company, Bachelors, Married, Managerial, White, Female,40, United-States, >50K
20, Company, College, Never-married, Tech-support, White, Female,28, United-States, <=50K
31, Company, University, Married, Managerial, White, Male,40, United-States, >50K
35, Company, College, Married, Tech-support, White, Male,40, United-States, <=50K
39, Company, College, Divorced, Protective-serv, White, Male,40, United-States, <=50K
28, Company, University, Never-married, Sales, White, Female,60, United-States, <=50K
24, Company, College, Never-married, Others, White, Female,40, United-States, <=50K
38, Self-employment, College, Married, Protective-serv, White, Male,35, United-States, <=50K
37, Company, Bachelors, Married, Sales, White, Male,50, United-States, <=50K
46, Company, University, Divorced, Tech-support, Black, Female,36, United-States, <=50K
38, Self-employment, Masters, Married, Doctor, White, Male,40, England, >50K
43, Self-employment, College, Married, Protective-serv, White, Male,60, United-States, <=50K
27, Company, University, Married, Tech-support, White, Female,35, United-States, <=50K
20, Company, College, Never-married, Sales, White, Male,20, United-States, <=50K
49, Company, College, Married, Sales, White, Male,40, United-States, >50K
61, Self-employment, College, Married, Protective-serv, White, Male,40, United-States, <=50K
27, Company, College, Never-married, Sales, White, Female,40, United-States, <=50K
19, Company, College, Never-married, Others, White, Male,30, Canada, <=50K
45, Company, University, Never-married, Doctor, White, Female,40, United-States, >50K
70, Company, College, Never-married, Tech-support, White, Male,40, United-States, <=50K
31, Company, College, Never-married, Shipper, Black, Female,30, United-States, <=50K
22, Company, College, Married, Others, White, Male,24, United-States, <=50K
36, Company, College, Married, Others, White, Female,24, United-States, <=50K
64, Company, High_school, Married, Protective-serv, White, Male,40, United-States, <=50K
43, Company, College, Divorced, Tech-support, White, Female,40, United-States, <=50K
47, Self-employment, College, Divorced, Tech-support, White, Female,38, Canada, <=50K
34, Company, College, Never-married, Tech-support, White, Female,40, United-States, <=50K
33, Company, Bachelors, Never-married, Managerial, Yellow, Female,40, Philippines, <=50K
21, Company, College, Never-married, Protective-serv, White, Male,35, United-States, <=50K
52, Company, College, Divorced, Tech-support, White, Male,45, United-States, >50K
48, Company, College, Married, Protective-serv, White, Male,46, United-States, <=50K
23, Company, Bachelors, Never-married, Shipper, White, Male,40, United-States, <=50K
71, Self-employment, College, Married, Sales, Black, Male,2, United-States, <=50K
29, Company, College, Divorced, Protective-serv, White, Male,60, United-States, <=50K
42, Company, Bachelors, Married, Others, Black, Male,50, United-States, <=50K
68, Company, Primary_school, Divorced, Tech-support, White, Female,20, United-States, <=50K
25, Company, College, Never-married, Others, White, Female,40, United-States, <=50K
44, Self-employment, Masters, Divorced, Managerial, Yellow, Female,40, United-States, <=50K
28, Company, College, Never-married, Managerial, Yellow, Female,40, England, <=50K
45, Self-employment, Masters, Married, Sales, White, Male,40, United-States, >50K
36, Company, College, Divorced, Others, White, Female,40, Canada, <=50K
39, Self-employment, University, Never-married, Managerial, White, Male,42, United-States, <=50K
46, State-gov, Masters, Married, Protective-serv, White, Male,40, United-States, <=50K
18, Company, High_school, Never-married, Shipper, White, Male,16, United-States, <=50K
66, Self-employment, University, Married, Shipper, White, Female,20, United-States, <=50K
27, Company, College, Never-married, Others, White, Male,40, United-States, <=50K
28, State-gov, College, Married, Protective-serv, White, Male,40, United-States, <=50K
51, Company, College, Married, Sales, White, Male,40, United-States, >50K
27, Company, Bachelors, Never-married, Protective-serv, White, Male,50, United-States, <=50K
28, State-gov, Bachelors, Married, Doctor, White, Male,40, United-States, >50K
27, Company, College, Married, Sales, White, Female,25, United-States, <=50K
21, Company, College, Never-married, Protective-serv, Black, Male,40, United-States, <=50K
34, Company, College, Never-married, Shipper, Black, Male,40, United-States, <=50K
18, Company, College, Never-married, Others, White, Male,12, United-States, <=50K
33, Company, Bachelors, Married, Shipper, White, Male,65, United-States, <=50K
44, Self-employment, College, Married, Managerial, Black, Male,38, United-States, >50K
43, Company, College, Divorced, Tech-support, White, Female,40, United-States, <=50K
30, Company, College, Never-married, Protective-serv, Black, Male,45, United-States, <=50K
40, Company, Second_school, Married, Shipper, White, Male,40, Canada, <=50K
37, Self-employment, College, Married, Managerial, White, Male,42, United-States, >50K
34, Company, College, Married, Tech-support, Black, Male,40, United-States, <=50K
41, Self-employment, Bachelors, Divorced, Managerial, White, Female,40, United-States, <=50K
53, Company, Bachelors, Divorced, Tech-support, White, Female,50, United-States, <=50K
31, Company, Masters, Married, Shipper, White, Female,50, United-States, <=50K
58, State-gov, Doctorate, Married, Doctor, White, Male,70, United-States, >50K
38, Company, College, Divorced, Shipper, Black, Female,28, United-States, <=50K
24, Company, College, Married, Shipper, White, Male,40, United-States, <=50K
41, Self-employment, Bachelors, Married, Protective-serv, Black, Male,40, United-States, <=50K
47, Company, College, Married, Tech-support, White, Male,45, United-States, <=50K
41, Self-employment, Bachelors, Married, Tech-support, White, Male,24, United-States, <=50K
23, Company, Primary_school, Married, Shipper, White, Male,40, Canada, <=50K
36, Company, College, Divorced, Protective-serv, White, Male,40, United-States, <=50K
40, Self-employment, Masters, Never-married, Managerial, White, Female,55, United-States, >50K
35, Company, Masters, Married, Doctor, White, Male,40, United-States, >50K
24, Self-employment, College, Never-married, Sales, White, Male,40, United-States, <=50K
26, Company, Masters, Never-married, Shipper, White, Female,40, United-States, <=50K
19, Company, College, Never-married, Tech-support, White, Male,40, Germany, <=50K
51, Company, Bachelors, Married, Managerial, White, Male,50, United-States, >50K
42, Self-employment, College, Never-married, Shipper, White, Female,40, United-States, <=50K
37, State-gov, College, Divorced, Tech-support, White, Female,35, United-States, <=50K
18, Company, High_school, Never-married, Sales, White, Female,40, United-States, <=50K
36, Company, Bachelors, Married, Others, Black, Male,36, United-States, >50K
35, Company, College, Divorced, Protective-serv, White, Male,60, United-States, <=50K
58, Self-employment, College, Married, Sales, White, Female,35, United-States, >50K
17, Company, High_school, Never-married, Sales, White, Female,12, United-States, <=50K
44, Self-employment, College, Married, Shipper, Black, Male,40, United-States, <=50K
37, Company, College, Married, Sales, White, Male,40, United-States, >50K
35, Company, College, Never-married, Sales, Yellow, Female,40, United-States, <=50K
60, Company, College, Married, Protective-serv, Yellow, Male,40, United-States, <=50K
54, Self-employment, Second_school, Married, Shipper, White, Male,40, United-States, <=50K
37, Company, Bachelors, Never-married, Managerial, Black, Male,60, United-States, >50K
50, Company, University, Divorced, Sales, White, Female,40, United-States, <=50K
38, Company, Bachelors, Married, Sales, White, Male,50, England, <=50K
45, Company, Bachelors, Married, Shipper, White, Male,55, United-States, <=50K
25, Company, High_school, Never-married, Protective-serv, White, Male,40, United-States, <=50K
31, Company, College, Married, Shipper, White, Male,40, United-States, <=50K
64, Company, Primary_school, Divorced, Tech-support, White, Male,40, United-States, <=50K
90, Company, College, Never-married, Others, Black, Male,40, United-States, <=50K
54, Company, College, Married, Tech-support, Black, Male,20, United-States, <=50K
53, Company, Primary_school, Never-married, Shipper, White, Female,35, United-States, <=50K
18, Company, College, Never-married, Sales, White, Female,40, United-States, <=50K
60, Company, High_school, Divorced, Tech-support, Yellow, Female,10, United-States, <=50K
66, Self-employment, College, Married, Protective-serv, White, Male,50, United-States, <=50K
75, Company, University, Married, Tech-support, Yellow, Female,20, Vietnam, <=50K
65, Company, College, Divorced, Tech-support, White, Female,40, United-States, <=50K
35, Company, High_school, Married, Shipper, Black, Male,40, United-States, <=50K
41, Company, College, Divorced, Sales, Black, Female,38, United-States, <=50K
25, Company, College, Never-married, Tech-support, White, Male,42, United-States, <=50K
33, Company, College, Divorced, Protective-serv, Other, Female,40, United-States, <=50K
28, Company, College, Never-married, Doctor, White, Male,55, United-States, >50K
59, State-gov, College, Married, Others, White, Male,40, United-States, <=50K
40, State-gov, College, Never-married, Tech-support, White, Female,38, United-States, <=50K
41, Company, Bachelors, Married, Managerial, White, Male,50, England, >50K
38, Self-employment, Masters, Married, Managerial, White, Male,70, United-States, >50K
23, Company, College, Never-married, Shipper, White, Male,40, United-States, <=50K
40, Company, Bachelors, Married, Doctor, White, Male,40, United-States, >50K
41, Self-employment, College, Married, Others, White, Female,20, United-States, <=50K
24, State-gov, University, Married, Protective-serv, White, Male,50, United-States, <=50K
20, Company, College, Never-married, Tech-support, White, Male,20, United-States, <=50K
38, Company, College, Divorced, Protective-serv, White, Male,40, United-States, <=50K
56, Company, College, Married, Tech-support, White, Male,35, China, <=50K
58, Company, College, Married, Managerial, White, Male,45, United-States, >50K
32, Company, College, Never-married, Others, White, Female,34, United-States, <=50K
40, Company, University, Married, Tech-support, White, Male,60, United-States, >50K
45, Company, College, Married, Tech-support, White, Male,40, China, <=50K
41, Company, College, Married, Doctor, White, Female,40, United-States, >50K
42, Company, Bachelors, Married, Tech-support, Black, Female,40, United-States, <=50K
59, Self-employment, High_school, Married, Others, Black, Female,30, United-States, <=50K
19, Self-employment, College, Never-married, Tech-support, White, Male,40, United-States, <=50K
58, Company, College, Never-married, Shipper, White, Male,20, United-States, <=50K
42, Company, University, Married, pilot, White, Male,40, Japan, >50K
20, Company, College, Never-married, Others, White, Female,40, United-States, <=50K
32, Company, College, Married, Others, White, Female,30, United-States, <=50K
45, Company, University, Married, Managerial, White, Female,45, United-States, <=50K
50, Company, Second_school, Divorced, Protective-serv, White, Male,40, United-States, <=50K
36, Company, Bachelors, Divorced, Shipper, White, Female,40, United-States, <=50K
45, Company, College, Married, Sales, White, Male,60, United-States, <=50K
17, Company, High_school, Never-married, Others, White, Male,12, United-States, <=50K
59, Company, College, Married, Sales, White, Male,40, United-States, <=50K
26, Company, High_school, Married, Protective-serv, White, Male,40, United-States, <=50K
37, Self-employment, College, Married, Managerial, Yellow, Male,75, Philippines, >50K
19, Company, College, Never-married, Tech-support, White, Male,24, Canada, <=50K
64, Company, College, Married, Managerial, White, Male,40, United-States, >50K
33, Company, Bachelors, Never-married, Shipper, White, Female,45, United-States, <=50K
33, Company, College, Married, Sales, White, Female,40, United-States, >50K
61, Company, College, Married, Managerial, White, Male,40, United-States, >50K
17, Company, Second_school, Never-married, Others, White, Male,24, United-States, <=50K
50, Self-employment, Masters, Married, Protective-serv, White, Male,98, United-States, <=50K
27, Self-employment, Masters, Never-married, Shipper, White, Male,35, United-States, <=50K
30, Company, College, Divorced, Shipper, White, Female,40, United-States, <=50K
43, Company, College, Married, Shipper, Black, Male,40, United-States, <=50K
44, Company, College, Married, Sales, White, Male,40, United-States, >50K
35, Company, College, Never-married, Managerial, White, Female,40, United-States, <=50K
25, Company, College, Never-married, Tech-support, White, Female,40, United-States, <=50K
24, Company, College, Married, Sales, White, Female,48, United-States, >50K
22, Company, Bachelors, Never-married, Shipper, White, Female,15, Germany, <=50K
42, Self-employment, College, Married, Sales, White, Male,40, United-States, >50K
34, Company, University, Divorced, Sales, Black, Female,45, United-States, <=50K
60, Company, Bachelors, Divorced, Shipper, White, Female,42, United-States, <=50K
21, Company, College, Never-married, Shipper, White, Male,40, United-States, <=50K
57, Self-employment, Masters, Married, Sales, White, Male,40, United-States, >50K
41, Company, College, Married, Doctor, White, Male,60, United-States, >50K
50, Company, College, Divorced, Others, White, Male,45, United-States, <=50K
25, Company, Bachelors, Never-married, Managerial, White, Female,40, United-States, <=50K
50, Company, Second_school, Married, Protective-serv, Yellow, Male,40, Vietnam, <=50K
36, Company, Bachelors, Married, Shipper, White, Male,45, United-States, <=50K
31, Company, College, Divorced, Shipper, White, Female,40, United-States, <=50K
29, Self-employment, Bachelors, Never-married, Protective-serv, White, Male,56, United-States, <=50K
21, Company, College, Never-married, Sales, White, Male,45, United-States, <=50K
27, Company, Bachelors, Never-married, Tech-support, Black, Female,40, United-States, <=50K
65, Company, College, Married, Shipper, White, Male,16, United-States, <=50K
37, Self-employment, Bachelors, Divorced, Sales, White, Female,60, United-States, <=50K
39, Company, Masters, Married, Tech-support, Yellow, Female,40, China, <=50K
24, Company, College, Never-married, Protective-serv, White, Male,40, United-States, <=50K
38, Company, College, Divorced, Sales, White, Male,80, United-States, <=50K
48, Company, Bachelors, Married, Managerial, White, Male,40, United-States, >50K
21, Company, College, Never-married, Others, Yellow, Female,25, United-States, <=50K
31, Company, College, Married, Shipper, White, Male,45, United-States, >50K
55, Company, College, Married, Sales, White, Male,40, United-States, >50K
24, Company, College, Married, Tech-support, Yellow, Female,40, Vietnam, <=50K
43, Company, College, Divorced, Tech-support, White, Female,40, United-States, <=50K
26, Company, University, Never-married, Tech-support, White, Male,45, United-States, <=50K
46, Company, University, Never-married, Shipper, White, Female,33, United-States, <=50K
35, Company, University, Married, Managerial, White, Male,40, United-States, >50K
41, Company, University, Married, pilot, White, Male,32, United-States, >50K
26, Company, Bachelors, Never-married, Sales, White, Male,40, United-States, <=50K
34, Company, Masters, Married, Managerial, White, Male,35, Germany, >50K
19, Company, College, Never-married, Tech-support, Black, Female,25, United-States, <=50K
36, Self-employment, Bachelors, Divorced, Doctor, Black, Female,40, United-States, >50K
22, Company, College, Never-married, Sales, White, Male,15, United-States, <=50K
24, Company, College, Never-married, Shipper, White, Male,40, United-States, <=50K
77, Self-employment, College, Married, Sales, White, Male,40, United-States, <=50K
22, Company, Primary_school, Married, Shipper, White, Female,40, Canada, <=50K
29, Company, College, Never-married, Tech-support, White, Female,40, United-States, <=50K
62, Company, College, Married, Others, White, Female,24, United-States, <=50K
39, Self-employment, College, Married, Managerial, White, Male,40, United-States, <=50K
43, Company, College, Married, Protective-serv, White, Male,50, United-States, <=50K
35, Company, College, Divorced, Shipper, White, Male,45, United-States, <=50K
29, Company, High_school, Never-married, Managerial, White, Female,40, United-States, <=50K
76, Self-employment, Masters, Married, Protective-serv, White, Male,10, United-States, <=50K
63, Self-employment, College, Married, Protective-serv, White, Male,45, United-States, <=50K
23, Company, University, Never-married, Tech-support, Black, Female,15, United-States, <=50K
43, Company, College, Married, Doctor, White, Female,50, United-States, >50K
58, Self-employment, College, Married, Shipper, White, Male,40, United-States, <=50K
66, Company, College, Never-married, Shipper, White, Male,55, United-States, <=50K
41, Company, College, Never-married, Protective-serv, Black, Male,45, United-States, <=50K
26, Company, Bachelors, Never-married, Tech-support, White, Male,40, United-States, <=50K
47, Company, University, Never-married, Others, White, Male,40, United-States, <=50K
55, Self-employment, High_school, Married, Tech-support, White, Male,40, United-States, <=50K
53, Company, College, Married, Shipper, White, Male,40, United-States, <=50K
17, Company, Primary_school, Never-married, Others, White, Male,48, Canada, <=50K
30, Company, College, Never-married, Protective-serv, White, Male,40, United-States, <=50K
49, Company, Masters, Never-married, Shipper, White, Male,60, United-States, <=50K
19, Company, College, Never-married, Sales, Yellow, Male,30, Vietnam, <=50K
45, Company, College, Married, Others, Black, Male,40, United-States, <=50K
26, Company, University, Never-married, Sales, White, Male,40, United-States, <=50K
38, Company, University, Married, Sales, White, Male,40, United-States, >50K
36, State-gov, College, Married, Protective-serv, White, Male,40, United-States, >50K
33, Company, College, Never-married, Protective-serv, White, Male,20, United-States, <=50K
22, State-gov, College, Never-married, Protective-serv, Black, Female,40, United-States, <=50K
43, Self-employment, Bachelors, Never-married, Sales, White, Male,42, United-States, <=50K
67, Company, High_school, Married, Tech-support, White, Male,8, United-States, <=50K
30, Company, University, Divorced, Tech-support, White, Female,40, United-States, <=50K
56, Company, University, Married, Others, Yellow, Male,25, Philippines, <=50K
31, Company, Bachelors, Never-married, Shipper, White, Male,25, United-States, <=50K
33, Company, Bachelors, Married, Managerial, White, Male,40, United-States, >50K
26, Company, College, Married, Others, White, Male,40, United-States, <=50K
33, Company, Bachelors, Married, Managerial, White, Male,40, United-States, >50K
46, Self-employment, High_school, Married, Shipper, White, Male,30, United-States, <=50K
59, Company, Bachelors, Married, Tech-support, White, Male,40, United-States, >50K
38, Self-employment, College, Married, Managerial, White, Male,40, United-States, >50K
65, Company, High_school, Married, Others, Other, Male,40, United-States, <=50K
40, Company, University, Married, Tech-support, White, Male,40, United-States, >50K
42, Company, College, Married, Tech-support, White, Female,35, United-States, <=50K
26, Self-employment, Second_school, Married, Protective-serv, Yellow, Male,40, Vietnam, <=50K
36, Company, High_school, Married, Others, White, Female,24, United-States, <=50K
62, Company, Masters, Married, Doctor, White, Male,40, United-States, >50K
43, Company, Bachelors, Married, Shipper, White, Male,45, United-States, <=50K
43, Company, Bachelors, Divorced, Managerial, White, Male,45, United-States, >50K
22, Company, College, Married, Sales, White, Male,55, United-States, <=50K
28, Company, College, Married, Protective-serv, White, Male,40, United-States, <=50K
56, Self-employment, College, Married, Sales, White, Male,45, United-States, <=50K
22, Company, University, Never-married, Sales, White, Female,15, United-States, <=50K
57, Company, Bachelors, Divorced, Managerial, White, Female,45, United-States, >50K
39, Company, College, Divorced, Sales, White, Female,40, United-States, <=50K
26, Self-employment, College, Never-married, Tech-support, White, Female,15, United-States, <=50K
17, Company, High_school, Never-married, Others, White, Male,10, United-States, <=50K
40, Self-employment, University, Married, Sales, White, Male,38, United-States, >50K
45, Company, College, Married, Shipper, Black, Male,40, United-States, <=50K
44, Company, College, Never-married, Protective-serv, Black, Male,40, United-States, <=50K
20, Self-employment, College, Never-married, Tech-support, White, Female,10, United-States, <=50K
33, Company, College, Married, Protective-serv, White, Female,40, United-States, <=50K
23, Company, College, Never-married, Sales, White, Male,40, United-States, <=50K
46, Self-employment, Masters, Divorced, Managerial, White, Male,30, United-States, <=50K
38, Company, College, Married, Sales, White, Male,50, United-States, <=50K
54, Company, College, Divorced, Shipper, White, Male,40, United-States, <=50K
46, Company, Primary_school, Divorced, Protective-serv, White, Female,45, United-States, <=50K
25, Company, College, Married, Protective-serv, White, Male,40, United-States, <=50K
46, Company, College, Divorced, Sales, White, Female,40, United-States, <=50K
36, Self-employment, College, Married, Shipper, White, Female,40, United-States, <=50K
23, Company, College, Never-married, Others, White, Female,25, United-States, <=50K
29, Company, College, Married, Shipper, White, Male,40, United-States, <=50K
44, Company, College, Married, Managerial, White, Female,6, United-States, >50K
19, Company, College, Never-married, Tech-support, White, Female,16, United-States, <=50K
19, Company, College, Never-married, Others, White, Female,40, United-States, <=50K
35, Company, College, Married, Others, White, Female,40, United-States, >50K
27, Company, Bachelors, Never-married, Protective-serv, White, Male,50, United-States, <=50K
46, Self-employment, University, Married, Protective-serv, White, Male,40, United-States, <=50K
34, State-gov, Bachelors, Married, Managerial, White, Male,45, China, >50K
34, Company, College, Never-married, Others, White, Female,35, United-States, <=50K
44, Company, College, Married, Tech-support, White, Male,40, United-States, <=50K
45, Company, College, Divorced, Shipper, White, Female,40, United-States, <=50K
20, Company, College, Never-married, Tech-support, White, Female,35, United-States, <=50K
25, Company, Bachelors, Married, Managerial, White, Male,55, United-States, >50K
52, Self-employment, Bachelors, Married, Managerial, White, Male,50, United-States, >50K
20, Company, College, Never-married, Shipper, White, Male,40, United-States, <=50K
28, Company, College, Never-married, Others, White, Female,40, United-States, <=50K
50, State-gov, Bachelors, Married, Protective-serv, White, Male,40, United-States, >50K
34, Company, University, Divorced, Tech-support, White, Female,64, United-States, <=50K
28, Company, Second_school, Married, Shipper, Other, Male,40, Vietnam, <=50K
41, Company, Masters, Married, Managerial, White, Male,65, United-States, >50K
28, Company, College, Married, Tech-support, White, Male,40, United-States, <=50K
46, Self-employment, College, Married, Protective-serv, White, Male,25, United-States, <=50K
28, Company, College, Married, Tech-support, White, Female,40, United-States, >50K
32, Company, College, Married, Managerial, White, Male,50, United-States, <=50K
41, Self-employment, College, Divorced, Others, Black, Female,24, United-States, <=50K
